TIMESTAMP,역률평균,R상역률,S상역률,T상역률,LABEL_NAME,predict,predict_low,predict_up,sigma_upper,sigma_lower
2020-11-15 18:00:00,0.9434773,0.93723977,0.9398438,0.9476565,0.0,0.946210049092523,0.9443356049189983,0.9480844932660478,0.9644350209273398,0.929738839622587
2020-11-15 18:30:00,0.94560504,0.9386721,0.94257826,0.94947934,0.0,0.9456189306020102,0.943772349040168,0.9474655121638523,0.9644350209273398,0.929738839622587
2020-11-15 19:00:00,0.9486923,0.94192725,0.9457032,0.95260435,0.0,0.9460453801108646,0.9440413752984887,0.9480493851530012,0.9644350209273398,0.929738839622587
2020-11-15 19:30:00,0.95120317,0.94427097,0.94752604,0.9553388,0.0,0.9479114435357687,0.945922778461876,0.949900108839422,0.9644350209273398,0.929738839622587
2020-11-15 20:00:00,0.9498681,0.94296885,0.94713545,0.95377624,0.0,0.9496027945101781,0.947930140996051,0.951275447909425,0.9644350209273398,0.929738839622587
2020-11-15 20:30:00,0.94929606,0.9427085,0.9458334,0.9532555,0.0,0.9498117008274657,0.9481495166722165,0.9514738850401551,0.9644350209273398,0.929738839622587
2020-11-15 21:00:00,0.9487122,0.9416669,0.9454428,0.9528647,0.0,0.9500133086835647,0.9479497469298515,0.952076870437278,0.9644350209273398,0.929738839622587
2020-11-15 21:30:00,0.94975674,0.9429689,0.94635427,0.9536461,0.0,0.9497753412370052,0.9484055720241156,0.9511451104498949,0.9644350209273398,0.929738839622587
2020-11-15 22:00:00,0.9496361,0.9430991,0.9457033,0.9535159,0.0,0.9499251933292067,0.9484906746709756,0.9513597119299975,0.9644350209273398,0.929738839622587
2020-11-15 22:30:00,0.9475178,0.94062525,0.9436199,0.9518232,0.0,0.9500707853255175,0.9482727115631433,0.951868859181232,0.9644350209273398,0.929738839622587
2020-11-15 23:00:00,0.95140976,0.944271,0.9477865,0.95625025,0.0,0.9491944118261259,0.9477788872778663,0.9506099364892656,0.9644350209273398,0.929738839622587
2020-11-15 23:30:00,0.9501789,0.9425783,0.9471355,0.9549482,0.0,0.9502979522599257,0.948687382278588,0.9519085221838234,0.9644350209273398,0.929738839622587
2020-11-16 00:00:00,0.9492036,0.9414064,0.94570327,0.9546877,0.0,0.9503525432412372,0.948980400141552,0.9517246863409222,0.9644350209273398,0.929738839622587
2020-11-16 00:30:00,0.9507234,0.942969,0.94687515,0.9557294,0.0,0.9501675413990555,0.9488650819044309,0.9514700008218798,0.9644350209273398,0.929738839622587
2020-11-16 01:00:00,0.9494531,0.9421877,0.9457032,0.954167,0.0,0.9504561861921108,0.9491220852486758,0.9517902871355458,0.9644350209273398,0.929738839622587
2020-11-16 01:30:00,0.950936,0.94361997,0.9476564,0.95625025,0.0,0.9501946144455243,0.9488736954005665,0.951515533404322,0.9644350209273398,0.929738839622587
2020-11-16 02:00:00,0.94970465,0.94244814,0.94609386,0.9546877,0.0,0.950775630088439,0.9494726977823448,0.9520785623945333,0.9644350209273398,0.929738839622587
2020-11-16 02:30:00,0.95030046,0.9428388,0.9468751,0.9553388,0.0,0.9504684750253919,0.9493429034769363,0.9515940466312877,0.9644350209273398,0.929738839622587
2020-11-16 03:00:00,0.95019376,0.9428387,0.9466146,0.9550784,0.0,0.9506620410297947,0.9493183082911264,0.952005773768463,0.9644350209273398,0.929738839622587
2020-11-16 03:30:00,0.94999784,0.9425783,0.9466147,0.95507836,0.0,0.9507783384492667,0.9495189354427103,0.9520377415132635,0.9644350209273398,0.929738839622587
2020-11-16 04:00:00,0.95089185,0.94362,0.94765633,0.9559899,0.0,0.9510456079003953,0.9493468914321345,0.9527443243686561,0.9644350209273398,0.929738839622587
2020-11-16 04:30:00,0.9476559,0.940495,0.9447918,0.9527346,0.0,0.9509522114118715,0.9496343543149859,0.9522700685661972,0.9644350209273398,0.929738839622587
2020-11-16 05:00:00,0.9491717,0.9420575,0.9457032,0.9537762,0.0,0.9503318270179282,0.9488035586716499,0.9518600953067662,0.9644350209273398,0.929738839622587
2020-11-16 05:30:00,0.94924855,0.9432293,0.9457032,0.9535159,0.0,0.9499333606158451,0.9485248955633622,0.9513418256396079,0.9644350209273398,0.929738839622587
2020-11-16 06:00:00,0.9493468,0.94687515,0.9485679,0.9467449,0.0,0.9504688089824629,0.9490690771744822,0.9518685408478836,0.9644350209273398,0.929738839622587
2020-11-16 06:30:00,0.9454674,0.94388044,0.945313,0.94153625,0.0,0.9500808359855921,0.94839224406968,0.9517694279724069,0.9644350209273398,0.929738839622587
2020-11-16 07:00:00,0.9464418,0.9440106,0.94700557,0.94296885,0.0,0.947696004348421,0.9455864741563567,0.9498055345404854,0.9644350209273398,0.929738839622587
2020-11-16 07:30:00,0.9466423,0.94427115,0.9475264,0.9417967,0.0,0.9480700739486353,0.9461685171021135,0.9499716306802769,0.9644350209273398,0.929738839622587
2020-11-16 08:00:00,0.95040864,0.94674516,0.951823,0.9463546,0.0,0.9475710465042053,0.9456004132740593,0.949541679964112,0.9644350209273398,0.929738839622587
2020-11-16 08:30:00,0.9554878,0.952474,0.9574217,0.9509116,0.0,0.9516148970635228,0.9492443514471494,0.9539854427947765,0.9644350209273398,0.929738839622587
2020-11-16 09:00:00,0.96056515,0.9570312,0.96132857,0.9570313,0.0,0.9578334857188566,0.9540013881822718,0.9616655832554414,0.9644350209273398,0.929738839622587
2020-11-16 09:30:00,0.9634321,0.9604171,0.9639326,0.960938,0.0,0.9594545636588576,0.9553459726435833,0.9635631551336532,0.9644350209273398,0.929738839622587
